MFR URL,Ref URL 1,Ref URL 2,Ref URL 3,Ref URL 4,Ref URL 5,PART_NUMBER,Dept,Class,Fine,SKU - MY_PART_NUMBER,Mfg_Part_Num,Part_Desc,E1_Brand,Unilog_Brand,DIB_Brand,Part_Manuf,MANUFACTURER_NAME,BRAND_NAME,TRADE_NAME,MANUFACTURER_PART_NUMBER,ALTERNATE_PART_NUMBER,Classpath,MOBILE_DESC,INVOICE_DESC,SHORT_DESC,LONG_DESC1,RETAIL_DESC,MARKETING_DESCRIPTION,ITEM_FEATURES_1,ITEM_FEATURES_2,ITEM_FEATURES_3,ITEM_FEATURES_4,ITEM_FEATURES_5,ITEM_FEATURES_6,ITEM_FEATURES_7,ITEM_FEATURES_8,ITEM_FEATURES_9,ITEM_FEATURES_10,ITEM_FEATURES_11,ITEM_FEATURES_12,ITEM_FEATURES_13,ITEM_FEATURES_14,ITEM_FEATURES_15,ITEM_FEATURES_16,ITEM_FEATURES_17,ITEM_FEATURES_18,ITEM_FEATURES_19,ITEM_FEATURES_20,With,Standard/Approvals,Prop 65,Application,Includes,Product Name,ATTRIBUTE_LABEL 1,ATTRIBUTE_VALUE 1,ATTRIBUTE_UOM 1,ATTRIBUTE_LABEL 2,ATTRIBUTE_VALUE 2,ATTRIBUTE_UOM 2,ATTRIBUTE_LABEL 3,ATTRIBUTE_VALUE 3,ATTRIBUTE_UOM 3,ATTRIBUTE_LABEL 4,ATTRIBUTE_VALUE 4,ATTRIBUTE_UOM 4,ATTRIBUTE_LABEL 5,ATTRIBUTE_VALUE 5,ATTRIBUTE_UOM 5,ATTRIBUTE_LABEL 6,ATTRIBUTE_VALUE 6,ATTRIBUTE_UOM 6,ATTRIBUTE_LABEL 7,ATTRIBUTE_VALUE 7,ATTRIBUTE_UOM 7,ATTRIBUTE_LABEL 8,ATTRIBUTE_VALUE 8,ATTRIBUTE_UOM 8,ATTRIBUTE_LABEL 9,ATTRIBUTE_VALUE 9,ATTRIBUTE_UOM 9,ATTRIBUTE_LABEL 10,ATTRIBUTE_VALUE 10,ATTRIBUTE_UOM 10,ATTRIBUTE_LABEL 11,ATTRIBUTE_VALUE 11,ATTRIBUTE_UOM 11,ATTRIBUTE_LABEL 12,ATTRIBUTE_VALUE 12,ATTRIBUTE_UOM 12,ATTRIBUTE_LABEL 13,ATTRIBUTE_VALUE 13,ATTRIBUTE_UOM 13,ATTRIBUTE_LABEL 14,ATTRIBUTE_VALUE 14,ATTRIBUTE_UOM 14,ATTRIBUTE_LABEL 15,ATTRIBUTE_VALUE 15,ATTRIBUTE_UOM 15,ATTRIBUTE_LABEL 16,ATTRIBUTE_VALUE 16,ATTRIBUTE_UOM 16,ATTRIBUTE_LABEL 17,ATTRIBUTE_VALUE 17,ATTRIBUTE_UOM 17,ATTRIBUTE_LABEL 18,ATTRIBUTE_VALUE 18,ATTRIBUTE_UOM 18,ATTRIBUTE_LABEL 19,ATTRIBUTE_VALUE 19,ATTRIBUTE_UOM 19,ATTRIBUTE_LABEL 20,ATTRIBUTE_VALUE 20,ATTRIBUTE_UOM 20,ATTRIBUTE_LABEL 21,ATTRIBUTE_VALUE 21,ATTRIBUTE_UOM 21,ATTRIBUTE_LABEL 22,ATTRIBUTE_VALUE 22,ATTRIBUTE_UOM 22,ATTRIBUTE_LABEL 23,ATTRIBUTE_VALUE 23,ATTRIBUTE_UOM 23,ATTRIBUTE_LABEL 24,ATTRIBUTE_VALUE 24,ATTRIBUTE_UOM 24,ATTRIBUTE_LABEL 25,ATTRIBUTE_VALUE 25,ATTRIBUTE_UOM 25,ATTRIBUTE_LABEL 26,ATTRIBUTE_VALUE 26,ATTRIBUTE_UOM 26,ATTRIBUTE_LABEL 27,ATTRIBUTE_VALUE 27,ATTRIBUTE_UOM 27,ATTRIBUTE_LABEL 28,ATTRIBUTE_VALUE 28,ATTRIBUTE_UOM 28,ATTRIBUTE_LABEL 29,ATTRIBUTE_VALUE 29,ATTRIBUTE_UOM 29,ATTRIBUTE_LABEL 30,ATTRIBUTE_VALUE 30,ATTRIBUTE_UOM 30,ATTRIBUTE_LABEL 31,ATTRIBUTE_VALUE 31,ATTRIBUTE_UOM 31,ATTRIBUTE_LABEL 32,ATTRIBUTE_VALUE 32,ATTRIBUTE_UOM 32,ATTRIBUTE_LABEL 33,ATTRIBUTE_VALUE 33,ATTRIBUTE_UOM 33,ATTRIBUTE_LABEL 34,ATTRIBUTE_VALUE 34,ATTRIBUTE_UOM 34,ATTRIBUTE_LABEL 35,ATTRIBUTE_VALUE 35,ATTRIBUTE_UOM 35,ATTRIBUTE_LABEL 36,ATTRIBUTE_VALUE 36,ATTRIBUTE_UOM 36,ATTRIBUTE_LABEL 37,ATTRIBUTE_VALUE 37,ATTRIBUTE_UOM 37,ATTRIBUTE_LABEL 38,ATTRIBUTE_VALUE 38,ATTRIBUTE_UOM 38,ATTRIBUTE_LABEL 39,ATTRIBUTE_VALUE 39,ATTRIBUTE_UOM 39,ATTRIBUTE_LABEL 40,ATTRIBUTE_VALUE 40,ATTRIBUTE_UOM 40,ATTRIBUTE_LABEL 41,ATTRIBUTE_VALUE 41,ATTRIBUTE_UOM 41,ATTRIBUTE_LABEL 42,ATTRIBUTE_VALUE 42,ATTRIBUTE_UOM 42,ATTRIBUTE_LABEL 43,ATTRIBUTE_VALUE 43,ATTRIBUTE_UOM 43,ATTRIBUTE_LABEL 44,ATTRIBUTE_VALUE 44,ATTRIBUTE_UOM 44,ATTRIBUTE_LABEL 45,ATTRIBUTE_VALUE 45,ATTRIBUTE_UOM 45,ATTRIBUTE_LABEL 46,ATTRIBUTE_VALUE 46,ATTRIBUTE_UOM 46,ATTRIBUTE_LABEL 47,ATTRIBUTE_VALUE 47,ATTRIBUTE_UOM 47,ATTRIBUTE_LABEL 48,ATTRIBUTE_VALUE 48,ATTRIBUTE_UOM 48,ATTRIBUTE_LABEL 49,ATTRIBUTE_VALUE 49,ATTRIBUTE_UOM 49,ATTRIBUTE_LABEL 50,ATTRIBUTE_VALUE 50,ATTRIBUTE_UOM 50,UPC,EAN,GTIN,UNSPSC,Warranty,List Price,Selling Qty,Selling UOM,Standard Packaging Information,LENGTH,LENGTH_UOM,HEIGHT,HEIGHT_UOM,WIDTH,WIDTH_UOM,WEIGHT,WEIGHT_UOM,VOLUME,VOLUME_UOM,Product Image,Alternate Image 1,Alternate Image 2,Alternate Image 3,Alternate Image 4,SDS,SDS_1,Warranty Information,Catalog,Specification Sheet,Instruction/Installation Manual,Service Manual,Owners/User Manual,Line Drawing,MTR,RoHS,Full Engineering Drawing,Energy Star Guide,Technical Bulletin,Submittal,Compatibility Chart,Size Chart,Product Label/Insert,Video Link,Video Link 1,Country Of Origin,Discontinued,Actual Image (Yes/No)
https://diablotools.com/products/DCB518ASTS06G,https://icecat.us/?q=DCB518ASTS06G,,,,,,Tools & Hardware,Abrasives,Sanding Supplies,,DCB518ASTS06G,"DCB518ASTS06G Diablo 1/2""x18"" - Sanding Belt 6pc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Freud Inc (2435),Diablo Tools,Diablo®,Diablo®,DCB518ASTS06G,,Tools & Hardware>Abrasives>Sanding Supplies,"Diablo Tools, Diablo, Sanding Abrasive, DCB518ASTS06G, 2"", Sanding Belt",SANDING ABRASIVE 2IN,"Diablo®, DCB518ASTS06G, Sanding Belt, 2""","Diablo®, Sanding Abrasive, DCB518ASTS06G, 2"", Sanding Belt, DCB518ASTS06G Diablo 1/2""x18"" - Sanding Belt 6pc","Sanding Abrasive, 2"", Sanding Belt","Learn all about #DCB518ASTS06G. Diablo's 1/2"" x 18"" detail file sanding belts include break-through innovations that improve performance, extend sanding life, and increase productivity. Featuring a premium aluminum oxide blend, these belts remove material faster than other sanding belts and offer an extra-long sanding life. The stearate coating reduces build-up while the premium joint connection ensures the belt can withstand a variety of sanding applications such as heavy stock removal, planing and sanding. Clog-SHIELD™, Diablo's own blend of grinding agents, reduces loading while the superior grain bonding system, ENDURA-BOND™, delivers longer life and extreme durability.",,,,,,,,,,,,,,,,,,,,,with more than,,,Sanding Belt,,Sanding Abrasive,Product Type,Sanding Belt,,Length,"2"" x 18""",in,Width,"2"" x 18""",in,Grit,,,Material,,,Application,Sanding Belt,,Pack Quantity,6,,Diameter,2,in,Thickness,1/2,,Size,"2"" x 18""",in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,Pack of 6,"2"" x 18""",in,,,"2"" x 18""",in,,,,,Diablo_DCB518ASTS06G.jpg,Diablo_DCB518ASTS06G_1.jpg,Diablo_DCB518ASTS06G_2.jpg,Diablo_DCB518ASTS06G_3.jpg,Diablo_DCB518ASTS06G_4.jpg,,,,,Diablo_DCB518ASTS06G_Specification_Sheet.pdf,,,,,,,,,,,,,,,,,,No
https://www.sourceatlantic.ca/Product/7100075678,,,,,,,Tools & Hardware,Abrasives,Sanding Supplies,,3MABR-7100075678,3M 775L Stikit Film P150 - Cubitron II 50 Disc/Box,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Jam Industrial Supply LLC (JAMIN),3M Company,3M™,3M™,3MABR-7100075678,,Tools & Hardware>Abrasives>Sanding Supplies,"3M Company, 3M, Sanding Abrasive, 3MABR-7100075678, 5, Stikit Film",SANDING ABRASIVE 5,"3M™, 3MABR-7100075678, Stikit Film, 5","3M™, Sanding Abrasive, 3MABR-7100075678, 5, Stikit Film, 3M 775L Stikit Film P150 - Cubitron II 50 Disc/Box","Sanding Abrasive, 5, Stikit Film","3M™ Cubitron™ II Stikit™ Film Disc 775L features 3M Precision Shaped Ceramic Grain, a revolutionary advancement in abrasive technology. The triangular shaped ceramic mineral is designed to slice through the substrate, rather than gouging or “plowing” like conventional abrasives, resulting in a disc that cuts up to 2x as fast and lasts up to 6x as long as conventional abrasives.",Specialties & Services ►,Specialties & Services,Specialty Valves & Instrumentation,Specifications,,,,,,,,,,,,,,,,,,,,Stikit Film,,Sanding Abrasive,Product Type,Stikit Film,,Length,,,Width,,,Grit,P150,,Material,Aluminum,,Application,Stikit Film,,Pack Quantity,50,,Additional Information,P150 Grit,,Diameter,5,in,Attributes Documents Specifications Attributes D,"BRAND {{attributeValue.valueDisplay}}{{$last ? '' : ', '}} {{document.descriptio",,Attributes Documents Attributes Documents,"BRAND {{attributeValue.valueDisplay}}{{$last ? '' : ', '}} {{document.descriptio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,Pack of 50,,,,,,,,,,,3M_3MABR-7100075678.jpg,3M_3MABR-7100075678_1.jpg,3M_3MABR-7100075678_2.jpg,3M_3MABR-7100075678_3.jpg,3M_3MABR-7100075678_4.jpg,,,,,3M_3MABR-7100075678_Specification_Sheet.pdf,,,,,,,,,,,,,,,,,,No
https://www.3m.com/p/7100045865,https://icecat.us/?q=7100045865,,,,,,Tools & Hardware,Abrasives,Sanding Supplies,,3MABR-7100045865,3M 775L Stikit Film P120 - Cubitron II 50 Disc/Box,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Jam Industrial Supply LLC (JAMIN),3M Company,3M™,3M™,3MABR-7100045865,,Tools & Hardware>Abrasives>Sanding Supplies,"3M Company, 3M, Sanding Abrasive, 3MABR-7100045865, Stikit Film",SANDING ABRASIVE,"3M™, 3MABR-7100045865, Stikit Film","3M™, Sanding Abrasive, 3MABR-7100045865, Stikit Film, 3M 775L Stikit Film P120 - Cubitron II 50 Disc/Box","Sanding Abrasive, Stikit Film",,,,,,,,,,,,,,,,,,,,,,with more than,,,Stikit Film,,Sanding Abrasive,Product Type,Stikit Film,,Length,,,Width,,,Grit,P120,,Material,,,Application,Stikit Film,,Pack Quantity,50,,Additional Information,P120 Grit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,Pack of 50,,,,,,,,,,,3M_3MABR-7100045865.jpg,3M_3MABR-7100045865_1.jpg,3M_3MABR-7100045865_2.jpg,3M_3MABR-7100045865_3.jpg,3M_3MABR-7100045865_4.jpg,,,,,3M_3MABR-7100045865_Specification_Sheet.pdf,,,,,,,,,,,,,,,,,,No
https://www.3m.com/p/7100048736,https://icecat.us/?q=7100048736,,,,,,Tools & Hardware,Abrasives,Sanding Supplies,,3MABR-7100048736,3M 775L Stikit Film P80 - Cubitron II 50 Disc/Box,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Jam Industrial Supply LLC (JAMIN),3M Company,3M™,3M™,3MABR-7100048736,,Tools & Hardware>Abrasives>Sanding Supplies,"3M Company, 3M, Sanding Abrasive, 3MABR-7100048736, Stikit Film",SANDING ABRASIVE,"3M™, 3MABR-7100048736, Stikit Film","3M™, Sanding Abrasive, 3MABR-7100048736, Stikit Film, 3M 775L Stikit Film P80 - Cubitron II 50 Disc/Box","Sanding Abrasive, Stikit Film",,,,,,,,,,,,,,,,,,,,,,with more than,,,Stikit Film,,Sanding Abrasive,Product Type,Stikit Film,,Length,,,Width,,,Grit,P80,,Material,,,Application,Stikit Film,,Pack Quantity,50,,Additional Information,P80 Grit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,Pack of 50,,,,,,,,,,,3M_3MABR-7100048736.jpg,3M_3MABR-7100048736_1.jpg,3M_3MABR-7100048736_2.jpg,3M_3MABR-7100048736_3.jpg,3M_3MABR-7100048736_4.jpg,,,,,3M_3MABR-7100048736_Specification_Sheet.pdf,,,,,,,,,,,,,,,,,,No
https://www.3m.com/p/7100075690,https://icecat.us/?q=7100075690,,,,,,Tools & Hardware,Abrasives,Sanding Supplies,,3MABR-7100075690,3M 775L Stikit Film P180 - Cubitron II 50 Disc/Box,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Jam Industrial Supply LLC (JAMIN),3M Company,3M™,3M™,3MABR-7100075690,,Tools & Hardware>Abrasives>Sanding Supplies,"3M Company, 3M, Sanding Abrasive, 3MABR-7100075690, Stikit Film",SANDING ABRASIVE,"3M™, 3MABR-7100075690, Stikit Film","3M™, Sanding Abrasive, 3MABR-7100075690, Stikit Film, 3M 775L Stikit Film P180 - Cubitron II 50 Disc/Box","Sanding Abrasive, Stikit Film",,,,,,,,,,,,,,,,,,,,,,with more than,,,Stikit Film,,Sanding Abrasive,Product Type,Stikit Film,,Length,,,Width,,,Grit,P180,,Material,,,Application,Stikit Film,,Pack Quantity,50,,Additional Information,P180 Grit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,Pack of 50,,,,,,,,,,,3M_3MABR-7100075690.jpg,3M_3MABR-7100075690_1.jpg,3M_3MABR-7100075690_2.jpg,3M_3MABR-7100075690_3.jpg,3M_3MABR-7100075690_4.jpg,,,,,3M_3MABR-7100075690_Specification_Sheet.pdf,,,,,,,,,,,,,,,,,,No
https://www.3m.com/p/7100075692,https://icecat.us/?q=7100075692,,,,,,Tools & Hardware,Abrasives,Sanding Supplies,,3MABR-7100075692,3M 775L Stikit Film P220 - Cubitron II 50 Disc/Box,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Jam Industrial Supply LLC (JAMIN),3M Company,3M™,3M™,3MABR-7100075692,,Tools & Hardware>Abrasives>Sanding Supplies,"3M Company, 3M, Sanding Abrasive, 3MABR-7100075692, Stikit Film",SANDING ABRASIVE,"3M™, 3MABR-7100075692, Stikit Film","3M™, Sanding Abrasive, 3MABR-7100075692, Stikit Film, 3M 775L Stikit Film P220 - Cubitron II 50 Disc/Box","Sanding Abrasive, Stikit Film",,,,,,,,,,,,,,,,,,,,,,with more than,,,Stikit Film,,Sanding Abrasive,Product Type,Stikit Film,,Length,,,Width,,,Grit,P220,,Material,,,Application,Stikit Film,,Pack Quantity,50,,Additional Information,P220 Grit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,Pack of 50,,,,,,,,,,,3M_3MABR-7100075692.jpg,3M_3MABR-7100075692_1.jpg,3M_3MABR-7100075692_2.jpg,3M_3MABR-7100075692_3.jpg,3M_3MABR-7100075692_4.jpg,,,,,3M_3MABR-7100075692_Specification_Sheet.pdf,,,,,,,,,,,,,,,,,,No
https://www.3m.com/p/7100145365,https://icecat.us/?q=7100145365,,,,,,Tools & Hardware,Abrasives,Sanding Supplies,,3MABR-7100145365,3M 775L Stikit Film P320 - Cubitron II 50 Disc/Box,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Jam Industrial Supply LLC (JAMIN),3M Company,3M™,3M™,3MABR-7100145365,,Tools & Hardware>Abrasives>Sanding Supplies,"3M Company, 3M, Sanding Abrasive, 3MABR-7100145365, Stikit Film",SANDING ABRASIVE,"3M™, 3MABR-7100145365, Stikit Film","3M™, Sanding Abrasive, 3MABR-7100145365, Stikit Film, 3M 775L Stikit Film P320 - Cubitron II 50 Disc/Box","Sanding Abrasive, Stikit Film",,,,,,,,,,,,,,,,,,,,,,with more than,,,Stikit Film,,Sanding Abrasive,Product Type,Stikit Film,,Length,,,Width,,,Grit,P320,,Material,,,Application,Stikit Film,,Pack Quantity,50,,Additional Information,P320 Grit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,Pack of 50,,,,,,,,,,,3M_3MABR-7100145365.jpg,3M_3MABR-7100145365_1.jpg,3M_3MABR-7100145365_2.jpg,3M_3MABR-7100145365_3.jpg,3M_3MABR-7100145365_4.jpg,,,,,3M_3MABR-7100145365_Specification_Sheet.pdf,,,,,,,,,,,,,,,,,,No
https://www.mirka.com/en-us/p/5B-332-080/?ls=true,,,,,,65409,Tools & Hardware,Abrasives,Sanding Supplies,,5B-332-080,"5B-332-080 HIOLIT 5"" P80",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Mirka Abrasives Inc (MIRUS),Mirka USA Inc.,Mirka®,Mirka®,5B-332-080,,Tools & Hardware>Abrasives>Sanding Supplies,"Mirka USA Inc., Mirka, Sanding Abrasive, 5B-332-080, 5, Hiolit® JCA2A0 5"" PSA Ta",SANDING ABRASIVE 5,"Mirka®, 5B-332-080, Hiolit® JCA2A0 5"" PSA Tab, 5","Mirka®, Sanding Abrasive, 5B-332-080, 5, Hiolit® JCA2A0 5"" PSA Tab, 5B-332-080 HIOLIT 5"" P80","Sanding Abrasive, 5, Hiolit® JCA2A0 5"" PSA Tab",Hiolit® JCA2A0’s flexible cloth backing makes it highly adaptable to contours in wood and metal sanding,Warranty Registration,Warranty Terms,,,,,,,,,,,,,,,,,,,,,,"Hiolit® JCA2A0 5"" PSA Tab",,Sanding Abrasive,Product Type,"Hiolit® JCA2A0 5"" PSA Tab",,Length,,,Width,,,Grit,P80,,Material,Aluminum oxide PDF Coated Abrasives Voluntary Pr,,Application,"Hiolit® JCA2A0 5"" PSA Tab",,Pack Quantity,,,Additional Information,P80 Grit,,Diameter,5,in,Abrasive Material,Aluminum oxide PDF Coated Abrasives Voluntary Pr,,variant,Grit options: P60 / Pieces per pack : x50 pieces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mirka_5B-332-080.jpg,Mirka_5B-332-080_1.jpg,Mirka_5B-332-080_2.jpg,Mirka_5B-332-080_3.jpg,Mirka_5B-332-080_4.jpg,,,,,Mirka_5B-332-080_Specification_Sheet.pdf,,,,,,,,,,,,,,,,,,No
https://www.mirka.com/en-us/p/5B-332-120/,,,,,,65409,Tools & Hardware,Abrasives,Sanding Supplies,,5B-332-120,"5B-332-120 HIOLIT 5"" P120",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Mirka Abrasives Inc (MIRUS),Mirka USA Inc.,Mirka®,Mirka®,5B-332-120,,Tools & Hardware>Abrasives>Sanding Supplies,"Mirka USA Inc., Mirka, Sanding Abrasive, 5B-332-120, 5, Hiolit® JCA2A0 5"" PSA Ta",SANDING ABRASIVE 5,"Mirka®, 5B-332-120, Hiolit® JCA2A0 5"" PSA Tab, 5","Mirka®, Sanding Abrasive, 5B-332-120, 5, Hiolit® JCA2A0 5"" PSA Tab, 5B-332-120 HIOLIT 5"" P120","Sanding Abrasive, 5, Hiolit® JCA2A0 5"" PSA Tab",All Mirka power tools have a standard two-year warranty. Get an additional 1 year of warranty free of charge by registering your tool within 30 days of purchase.,Warranty Registration,Warranty Terms,,,,,,,,,,,,,,,,,,,,,,"Hiolit® JCA2A0 5"" PSA Tab",,Sanding Abrasive,Product Type,"Hiolit® JCA2A0 5"" PSA Tab",,Length,,,Width,,,Grit,P120,,Material,Aluminum oxide PDF Coated Abrasives Voluntary Pr,,Application,"Hiolit® JCA2A0 5"" PSA Tab",,Pack Quantity,,,Additional Information,P120 Grit,,Diameter,5,in,Abrasive Material,Aluminum oxide PDF Coated Abrasives Voluntary Pr,,variant,Grit options: P60 / Pieces per pack : x50 pieces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mirka_5B-332-120.jpg,Mirka_5B-332-120_1.jpg,Mirka_5B-332-120_2.jpg,Mirka_5B-332-120_3.jpg,Mirka_5B-332-120_4.jpg,,,,,Mirka_5B-332-120_Specification_Sheet.pdf,,,,,,,,,,,,,,,,,,No
https://www.mirka.com/en-us/p/9A-570-240/,,,,,,84891,Tools & Hardware,Abrasives,Sanding Supplies,,9A-570-240,9A-570-240 Abranet 2.75x30,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Mirka Abrasives Inc (MIRUS),Mirka USA Inc.,Mirka®,Mirka®,9A-570-240,,Tools & Hardware>Abrasives>Sanding Supplies,"Mirka USA Inc., Mirka, Sanding Abrasive, 9A-570-240, 2.75, ABRANET® 2.75""x30' Gr",SANDING ABRASIVE 2.75,"Mirka®, 9A-570-240, ABRANET® 2.75""x30' Grip, Roll, 2.75","Mirka®, Sanding Abrasive, 9A-570-240, 2.75, ABRANET® 2.75""x30' Grip, Roll, 9A-570-240 Abranet 2.75x30","Sanding Abrasive, 2.75, ABRANET® 2.75""x30' Grip, Roll",All Mirka power tools have a standard two-year warranty. Get an additional 1 year of warranty free of charge by registering your tool within 30 days of purchase.,Warranty Registration,Warranty Terms,,,,,,,,,,,,,,,,,,,,,,"ABRANET® 2.75""x30' Grip, Roll",,Sanding Abrasive,Product Type,"ABRANET® 2.75""x30' Grip, Roll",,Length,,,Width,,,Grit,,,Material,Aluminum oxide Length 9.2 mm Width 2.75 inch PDF,,Application,"ABRANET® 2.75""x30' Grip, Roll",,Pack Quantity,,,Thickness,.75,,Abrasive Material,Aluminum oxide Length 9.2 mm Width 2.75 inch PDF,,Diameter,2-3/4,in,variant,Grit options: P80 / Pieces per pack : x1 pieces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mirka_9A-570-240.jpg,Mirka_9A-570-240_1.jpg,Mirka_9A-570-240_2.jpg,Mirka_9A-570-240_3.jpg,Mirka_9A-570-240_4.jpg,,,,,Mirka_9A-570-240_Specification_Sheet.pdf,,,,,,,,,,,,,,,,,,No
